20.11.24-05:40:00;2;4.581000;224.300003;6340.335938;6681.615234;298.304993;146.751999;20.11.24-05:35:03;6185.627930
20.11.24-05:50:00;2;4.652000;223.500000;6340.335938;6682.380859;298.304993;146.751999;20.11.24-05:46:21;6185.634766
20.11.24-06:00:00;1;4.649000;225.199997;6340.335938;6683.149902;298.304993;146.751999;20.11.24-05:54:59;6185.981934
20.11.24-06:10:00;1;4.708000;223.800003;6341.107910;6683.149902;298.304993;146.751999;20.11.24-06:05:04;6186.455078
20.11.24-06:20:00;1;4.663000;224.800003;6341.882812;6683.149902;298.304993;146.751999;20.11.24-06:20:00;6187.089844
20.11.24-06:30:00;1;4.683000;225.300003;6342.661133;6683.149902;298.304993;146.751999;20.11.24-06:25:01;6187.270020
20.11.24-06:40:00;1;4.613000;223.699997;6343.437988;6683.149902;298.304993;146.751999;20.11.24-06:35:08;6187.590820
20.11.24-06:50:00;1;4.655000;223.800003;6344.208984;6683.149902;298.304993;146.751999;20.11.24-06:49:59;6187.994141
20.11.24-07:00:00;1;0.234000;232.500000;6344.300781;6683.149902;298.304993;146.751999;20.11.24-06:55:03;6188.087891
20.11.24-07:10:00;1;0.260000;232.300003;6344.344238;6683.149902;298.304993;146.751999;20.11.24-07:05:06;6188.087891
20.11.24-07:20:00;1;0.277000;234.300003;6344.386230;6683.149902;298.304993;146.751999;20.11.24-07:15:51;6188.087891
20.11.24-07:30:00;1;0.379000;232.500000;6344.453125;6683.149902;298.304993;146.751999;20.11.24-07:25:01;6188.319824
20.11.24-07:40:00;1;4.686000;224.199997;6345.077148;6683.149902;298.304993;146.751999;20.11.24-07:39:59;6188.877930
20.11.24-07:50:00;1;4.776000;222.800003;6345.851074;6683.149902;298.304993;146.751999;20.11.24-07:45:18;6188.891113
20.11.24-08:00:00;1;0.261000;232.500000;6345.908203;6683.149902;298.304993;146.751999;20.11.24-07:55:06;6188.891113
20.11.24-08:10:00;1;0.369000;234.800003;6345.952148;6683.149902;298.304993;146.751999;20.11.24-08:04:59;6189.015137
